ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr,significatiu_fdr_005
subregio_periode,nao,pressio_nivell_mar,120,0.5823147863636163,3.030440115562779e-12,0.479329803006532,3.048490507121435e-08,0.5823147863636163,0.479329803006532,Mediterrani_Central_Occidental,,2001-2010,1.0695670996103925e-10,6.799607079081268e-07,True
subregio_periode,nao,pressio_nivell_mar,120,0.5818923956223125,3.1685784132085486e-12,0.5353693897846638,2.976849316289461e-10,0.5818923956223125,0.5353693897846638,Golf_Lleo,,2011-2020,1.1117818993714207e-10,9.500582924328066e-09,True
periode,nao,pressio_nivell_mar,480,0.5750950088925731,1.3137411221047737e-43,0.4839498676746853,1.5026131668564415e-29,0.5750950088925731,0.4839498676746853,,,2001-2010,3.2843528052619344e-41,2.575908286039614e-27,True
estacio_periode,wemo,vent_u10,120,0.5742395281295061,7.0282283658646946e-12,0.5728127908774298,8.135115802247658e-12,0.5742395281295061,0.5728127908774298,,Spring,1991-2000,2.4235270227119635e-10,3.149077084741029e-10,True
estacio_periode,wemo,vent_u10,120,0.5723557770185026,8.524037528115707e-12,0.5032006562293149,4.698101259367727e-09,0.5723557770185026,0.5032006562293149,,Autumn,2001-2010,2.9059218845849e-10,1.1584979518851263e-07,True
subregio_periode,wemo,velocitat_vent,120,0.5716364720447156,9.172842090123937e-12,0.5186931796688518,1.2896194208922856e-09,0.5716364720447156,0.5186931796688518,Mediterrani_Central_Occidental,,1981-1990,3.1094379966521817e-10,3.5332038928555766e-08,True
subregio_estacio,nao,pressio_nivell_mar,120,0.569506752493881,1.1386234276891192e-11,0.5031886615848772,4.702689373440125e-09,0.569506752493881,0.5031886615848772,Mediterrani_Central_Occidental,Spring,,3.8380564978284917e-10,1.1584979518851263e-07,True
periode,wemo,vent_u10,480,0.5657806649312742,5.762751718471681e-42,0.5594243536646578,7.106576898633275e-41,0.5657806649312742,0.5594243536646578,,,1981-1990,1.3830604124332035e-39,2.1319730695899825e-38,True
subregio_periode,wemo,velocitat_vent,120,0.565296421590324,1.7378207064704188e-11,0.5242058991267091,8.012947375451468e-10,0.565296421590324,0.5242058991267091,Mediterrani_Central_Occidental,,1991-2000,5.760731623658847e-10,2.3225934421598455e-08,True
subregio_estacio,nao,humitat_sol_capa1,120,-0.5636350178747024,2.0500026070471597e-11,-0.5411893394339479,1.7509220011657254e-10,0.5636350178747024,0.5411893394339479,Mediterrani_Central_Occidental,Winter,,6.758250352902724e-10,5.869012294410252e-09,True
subregio_periode,wemo,velocitat_vent,120,0.5612676017822373,2.590051117257014e-11,0.46302443980686314,1.0098233123072583e-07,0.5612676017822373,0.46302443980686314,Catalunya_Balears,,2011-2020,8.491970876252505e-10,2.0678975678646926e-06,True
estacio_periode,wemo,velocitat_vent,120,0.5602187731365775,2.8710700231538972e-11,0.5409581658301386,1.7885709737601344e-10,0.5602187731365775,0.5409581658301386,,Winter,2011-2020,9.261516203722249e-10,5.961903245867115e-09,True
estacio_periode,roni,velocitat_vent,120,-0.5589912820852225,3.237439073639126e-11,-0.5184313662036397,1.3188191693567463e-09,0.5589912820852225,0.5184313662036397,,Spring,2001-2010,1.0332252362678062e-09,3.5967795527911265e-08,True
