ambit,teleconnexio,variable_booleana,n,n_events,event_rate_pct,pointbiserial_r,p_value,abs_r,subregio,estacio,periode,q_fdr
subregio_estacio,roni,mes_molt_calid,120,29,24.166666666666668,0.09635209463152158,0.2951574139891032,0.09635209463152158,Golf_Lleo,Autumn,,0.8102221447032975
subregio_estacio,roni,mes_molt_fred,120,28,23.333333333333332,0.09615262544418988,0.2961629193747667,0.09615262544418988,Golf_Lleo,Summer,,0.8102221447032975
subregio_estacio,roni,mes_molt_sec,120,28,23.333333333333332,0.09572839972056044,0.29830891767786255,0.09572839972056044,Golf_Lleo,Spring,,0.8102221447032975
estacio,roni,episodi_calid_i_sol_sec,480,35,7.291666666666667,0.0957153391159604,0.03604976880851899,0.0957153391159604,,Summer,,0.4710503124313148
subregio_estacio,roni,sol_molt_sec,120,42,35.0,-0.09475484775605439,0.303272420304457,0.09475484775605439,Mediterrani_Central_Occidental,Autumn,,0.8102221447032975
subregio_periode,roni,episodi_calid_i_sec,120,3,2.5,-0.09468313772011544,0.30364015320857013,0.09468313772011544,Catalunya_Balears,,1991-2000,0.8102221447032975
subregio_estacio,roni,episodi_calid_i_sec,120,2,1.6666666666666667,0.09450103695507267,0.30457528958672503,0.09450103695507267,Catalunya_Balears,Spring,,0.8102221447032975
subregio_periode,roni,mes_molt_humit,120,20,16.666666666666664,0.09443785775212218,0.3049001723237888,0.09443785775212218,Catalunya_Balears,,2001-2010,0.8102221447032975
subregio_estacio,roni,mes_molt_sec,120,20,16.666666666666664,-0.09372097018501474,0.3086024806667159,0.09372097018501474,Catalunya_Balears,Autumn,,0.8118937746399506
subregio_estacio,roni,sol_molt_sec,120,24,20.0,0.09240635527876706,0.31546763908288983,0.09240635527876706,Golf_Lleo,Spring,,0.8175598502236049
subregio_periode,roni,mes_molt_sec,120,10,8.333333333333332,-0.09140014437325225,0.320788650135866,0.09140014437325225,Catalunya_Balears,,1981-1990,0.8175598502236049
subregio_periode,roni,sol_molt_sec,120,30,25.0,0.09017077117716282,0.32736789223683105,0.09017077117716282,Mediterrani_Central_Occidental,,2011-2020,0.8175598502236049
subregio_estacio,roni,mes_molt_fred,120,19,15.833333333333332,-0.09005590165667637,0.32798702673431385,0.09005590165667637,Llevant_Iberic,Winter,,0.8175598502236049
subregio_estacio,roni,episodi_fred_i_humit,120,4,3.3333333333333335,0.08972596032412566,0.3297695432297258,0.08972596032412566,Llevant_Iberic,Autumn,,0.8175598502236049
subregio_periode,roni,mes_molt_sec,120,3,2.5,0.08950543746503069,0.33096437030242937,0.08950543746503069,Llevant_Iberic,,2011-2020,0.8175598502236049
subregio_periode,roni,sol_molt_humit,120,34,28.333333333333332,-0.08938434299764167,0.33162165327622606,0.08938434299764167,Mediterrani_Central_Occidental,,2011-2020,0.8175598502236049
subregio_estacio,roni,episodi_calid_i_sol_sec,120,4,3.3333333333333335,-0.08873231252009713,0.3351750849577348,0.08873231252009713,Mediterrani_Central_Occidental,Spring,,0.8175598502236049
subregio_periode,roni,mes_molt_humit,120,16,13.333333333333334,0.08862111252111365,0.33578350991326633,0.08862111252111365,Llevant_Iberic,,2001-2010,0.8175598502236049
subregio_estacio,roni,mes_molt_calid,120,18,15.0,0.08781404915913431,0.34022032834106164,0.08781404915913431,Mediterrani_Central_Occidental,Autumn,,0.82024668113296
subregio_estacio,roni,mes_molt_sec,120,16,13.333333333333334,-0.08731676251531173,0.34297253532017774,0.08731676251531173,Mediterrani_Central_Occidental,Autumn,,0.82024668113296
estacio,roni,episodi_fred_i_humit,480,9,1.875,0.08485909383522593,0.06321530287027012,0.08485909383522593,,Summer,,0.5480605478763202
periode,roni,mes_molt_calid,480,78,16.25,0.0840458478482246,0.06579649280952336,0.0840458478482246,,,2001-2010,0.5480605478763202
subregio_periode,roni,mes_molt_calid,120,28,23.333333333333332,0.08390227219385067,0.3622474566214134,0.08390227219385067,Golf_Lleo,,2001-2010,0.8405176403014156
subregio,roni,episodi_fred_i_humit,480,10,2.083333333333333,-0.08384309947582,0.06645331484867012,0.08384309947582,Mediterrani_Central_Occidental,,,0.5480605478763202
subregio_estacio,roni,mes_molt_humit,120,13,10.833333333333334,0.08351144537350451,0.3644956217475106,0.08351144537350451,Llevant_Iberic,Winter,,0.8405176403014156
subregio_periode,roni,mes_molt_fred,120,15,12.5,-0.0831229327182236,0.36673898675404126,0.0831229327182236,Llevant_Iberic,,2001-2010,0.8405176403014156
subregio,roni,episodi_calid_i_sol_sec,480,28,5.833333333333333,0.08273567283921315,0.07013657491394255,0.08273567283921315,Catalunya_Balears,,,0.5480605478763202
subregio_periode,roni,mes_molt_sec,120,14,11.666666666666666,0.08257846863676338,0.36989711710182804,0.08257846863676338,Catalunya_Balears,,2011-2020,0.8405176403014156
subregio_estacio,roni,mes_molt_humit,120,20,16.666666666666664,0.08240372095512616,0.3709142562120198,0.08240372095512616,Catalunya_Balears,Autumn,,0.8405176403014156
subregio_estacio,roni,sol_molt_humit,120,6,5.0,-0.08221412306752711,0.37201976912790735,0.08221412306752711,Golf_Lleo,Winter,,0.8405176403014156
subregio_periode,roni,sol_molt_humit,120,28,23.333333333333332,-0.08195718151471051,0.37352116595479845,0.08195718151471051,Mediterrani_Central_Occidental,,1991-2000,0.8405176403014156
subregio_periode,roni,sol_molt_sec,120,34,28.333333333333332,0.08163161937029523,0.37542884557561207,0.08163161937029523,Catalunya_Balears,,2011-2020,0.8405176403014156
subregio_estacio,roni,episodi_calid_i_sol_sec,120,6,5.0,0.08117123778548659,0.3781366398541029,0.08117123778548659,Mediterrani_Central_Occidental,Winter,,0.8405176403014156
subregio_estacio,roni,sol_molt_humit,120,32,26.666666666666668,0.08112411791735781,0.3784144497915085,0.08112411791735781,Catalunya_Balears,Summer,,0.8405176403014156
subregio_estacio,roni,mes_molt_sec,120,15,12.5,0.08104001337515847,0.3789106227067917,0.08104001337515847,Mediterrani_Central_Occidental,Winter,,0.8405176403014156
subregio_estacio,roni,episodi_calid_i_sec,120,14,11.666666666666666,-0.0808631068989693,0.37995556786074197,0.0808631068989693,Golf_Lleo,Spring,,0.8405176403014156
periode,roni,mes_molt_sec,480,58,12.083333333333334,-0.08012643763353428,0.07947749286858305,0.08012643763353428,,,1981-1990,0.5480605478763202
subregio_estacio,roni,mes_molt_fred,120,19,15.833333333333332,-0.07967880524914692,0.38699590385702104,0.07967880524914692,Mediterrani_Central_Occidental,Winter,,0.8405176403014156
subregio_periode,roni,mes_molt_humit,120,8,6.666666666666667,0.07922708952757368,0.38970178757884244,0.07922708952757368,Llevant_Iberic,,1991-2000,0.8405176403014156
subregio_periode,roni,sol_molt_humit,120,26,21.666666666666668,0.07894662367106126,0.3913875455127978,0.07894662367106126,Llevant_Iberic,,1991-2000,0.8405176403014156
estacio,roni,sol_molt_humit,480,154,32.083333333333336,0.07882668359812142,0.08449349522669661,0.07882668359812142,,Autumn,,0.5480605478763202
subregio_periode,roni,sol_molt_sec,120,25,20.833333333333336,-0.07689579457169056,0.4038464721888388,0.07689579457169056,Mediterrani_Central_Occidental,,2001-2010,0.8405176403014156
subregio_periode,roni,sol_molt_humit,120,18,15.0,0.07654368521611471,0.40600888956890385,0.07654368521611471,Golf_Lleo,,2011-2020,0.8405176403014156
subregio_periode,roni,sol_molt_humit,120,29,24.166666666666668,0.0763258227222223,0.4073502651355545,0.0763258227222223,Llevant_Iberic,,2011-2020,0.8405176403014156
subregio_periode,roni,episodi_calid_i_sol_sec,120,12,10.0,0.07622524895144893,0.40797037512136236,0.07622524895144893,Llevant_Iberic,,2001-2010,0.8405176403014156
subregio_estacio,roni,sol_molt_sec,120,29,24.166666666666668,0.07594420450456096,0.40970615846223796,0.07594420450456096,Catalunya_Balears,Summer,,0.8405176403014156
subregio_estacio,roni,mes_molt_fred,120,12,10.0,0.07578942296986596,0.41066396677820466,0.07578942296986596,Mediterrani_Central_Occidental,Spring,,0.8405176403014156
subregio_estacio,roni,mes_molt_fred,120,31,25.833333333333336,-0.07562512334308613,0.41168210953538725,0.07562512334308613,Golf_Lleo,Winter,,0.8405176403014156
subregio_estacio,roni,mes_molt_humit,120,19,15.833333333333332,0.07417790404312966,0.42071400968316613,0.07417790404312966,Llevant_Iberic,Autumn,,0.8424915408311952
estacio,roni,episodi_fred_i_humit,480,19,3.958333333333333,-0.07401286315138274,0.10533228564768331,0.07401286315138274,,Spring,,0.5809369608223528
subregio_estacio,roni,mes_molt_humit,120,2,1.6666666666666667,-0.07307649369273392,0.4276640701285882,0.07307649369273392,Llevant_Iberic,Summer,,0.8424915408311952
subregio_estacio,roni,episodi_fred_i_humit,120,2,1.6666666666666667,-0.07307649369273392,0.4276640701285882,0.07307649369273392,Llevant_Iberic,Summer,,0.8424915408311952
subregio_estacio,roni,sol_molt_humit,120,35,29.166666666666668,0.07256655411271093,0.43090408488192344,0.07256655411271093,Llevant_Iberic,Autumn,,0.8424915408311952
subregio_periode,roni,sol_molt_sec,120,29,24.166666666666668,-0.07248552975506645,0.4314201822285674,0.07248552975506645,Golf_Lleo,,2011-2020,0.8424915408311952
subregio_estacio,roni,episodi_calid_i_sol_sec,120,10,8.333333333333332,0.07129363357505247,0.43905292497619725,0.07129363357505247,Mediterrani_Central_Occidental,Autumn,,0.8424915408311952
subregio_periode,roni,episodi_calid_i_sec,120,2,1.6666666666666667,0.07108015396601096,0.44042805976117205,0.07108015396601096,Mediterrani_Central_Occidental,,2001-2010,0.8424915408311952
periode,roni,mes_molt_sec,480,50,10.416666666666668,0.07063567920451491,0.1222383873007258,0.07063567920451491,,,2011-2020,0.6009614150145004
estacio,roni,mes_molt_sec,480,59,12.291666666666666,0.07034421821378684,0.12379127183773651,0.07034421821378684,,Winter,,0.6009614150145004
estacio,roni,mes_molt_fred,480,89,18.541666666666668,-0.07033174024188679,0.12385809466700563,0.07033174024188679,,Winter,,0.6009614150145004
