ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_b_minus_a_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,chi2_q_fdr
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,34,30,13,6,38.23529411764706,20.0,-18.235294117647054,0.1870850787613353,18.235294117647054,Golf_Lleo,Spring,,0.5171246420055678
subregio_periode,nao,Negative,Positive,mes_molt_sec,59,33,0,6,0.0,18.181818181818183,18.181818181818183,0.0032047438816022278,18.181818181818183,Mediterrani_Central_Occidental,,2001-2010,0.034585713212801114
estacio,roni,La Nina,El Nino,sol_molt_sec,136,120,31,49,22.794117647058822,40.833333333333336,18.03921568627451,0.0029558702463503375,18.03921568627451,,Spring,,0.032767933016683744
subregio_estacio,nao,Negative,Positive,mes_molt_humit,66,32,16,2,24.242424242424242,6.25,-17.992424242424242,0.060252735567255356,17.992424242424242,Catalunya_Balears,Autumn,,0.25879772767632925
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,35,29,7,11,20.0,37.93103448275862,17.93103448275862,0.19054107905771483,17.93103448275862,Catalunya_Balears,,2001-2010,0.51941408904726
subregio,nao,Negative,Positive,mes_molt_sec,191,197,22,58,11.518324607329843,29.441624365482234,17.92329975815239,2.2624538629038394e-05,17.92329975815239,Golf_Lleo,,,0.0008495149343290546
subregio_estacio,wemo,Negative,Positive,sol_molt_sec,48,34,10,1,20.833333333333336,2.941176470588235,-17.892156862745097,0.044089629330776516,17.892156862745097,Golf_Lleo,Spring,,0.20955701395451737
subregio_estacio,wemo,Negative,Positive,mes_molt_calid,43,34,14,5,32.55813953488372,14.705882352941178,-17.852257181942548,0.12400137688624141,17.852257181942548,Golf_Lleo,Summer,,0.41239315055881426
subregio_periode,nao,Negative,Positive,sol_molt_sec,40,57,9,23,22.5,40.35087719298245,17.850877192982452,0.1049432694406927,17.850877192982452,Llevant_Iberic,,2011-2020,0.3702473891043389
subregio_periode,wemo,Negative,Positive,mes_molt_fred,59,31,1,6,1.694915254237288,19.35483870967742,17.65992345544013,0.010515027507328892,17.65992345544013,Golf_Lleo,,2011-2020,0.08269927039547859
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,30,34,15,11,50.0,32.35294117647059,-17.64705882352941,0.23822594246634554,17.64705882352941,Llevant_Iberic,,1981-1990,0.5922867165553637
subregio,nao,Negative,Positive,mes_molt_humit,191,197,55,22,28.79581151832461,11.16751269035533,-17.62829882796928,2.386083991971102e-05,17.62829882796928,Golf_Lleo,,,0.0008679380520794884
global,nao,Negative,Positive,sol_molt_humit,764,788,275,145,35.99476439790576,18.401015228426395,-17.593749169479363,9.759716079520322e-15,17.593749169479363,,,,5.680154758280827e-12
subregio_periode,nao,Negative,Positive,episodi_calid_i_sec,40,57,0,10,0.0,17.543859649122805,17.543859649122805,0.013970818012328209,17.543859649122805,Golf_Lleo,,2011-2020,0.10038291460709899
subregio_periode,nao,Negative,Positive,mes_molt_sec,40,57,0,10,0.0,17.543859649122805,17.543859649122805,0.013970818012328209,17.543859649122805,Mediterrani_Central_Occidental,,2011-2020,0.10038291460709899
subregio_estacio,nao,Negative,Positive,mes_molt_calid,66,32,7,9,10.606060606060606,28.125,17.51893939393939,0.05626307412670886,17.51893939393939,Catalunya_Balears,Autumn,,0.24806900864957998
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,27,31,4,10,14.814814814814813,32.25806451612903,17.44324970131422,0.214632148015876,17.44324970131422,Golf_Lleo,Summer,,0.555520381955022
subregio_periode,nao,Negative,Positive,sol_molt_humit,59,33,21,6,35.59322033898305,18.181818181818183,-17.41140215716487,0.1284261824627964,17.41140215716487,Catalunya_Balears,,2001-2010,0.41991032692891855
subregio_periode,wemo,Negative,Positive,mes_molt_humit,46,29,8,0,17.391304347826086,0.0,-17.391304347826086,0.04637075913412318,17.391304347826086,Llevant_Iberic,,2001-2010,0.21676933185590114
subregio_estacio,wemo,Negative,Positive,episodi_calid_i_sol_sec,46,34,8,0,17.391304347826086,0.0,-17.391304347826086,0.02879601704191773,17.391304347826086,Mediterrani_Central_Occidental,Autumn,,0.16271147493588467
subregio_periode,wemo,Negative,Positive,mes_molt_fred,30,47,5,16,16.666666666666664,34.04255319148936,17.375886524822697,0.1593715736771759,17.375886524822697,Mediterrani_Central_Occidental,,1991-2000,0.47083378619348404
subregio_periode,nao,Negative,Positive,mes_molt_fred,59,33,12,1,20.33898305084746,3.0303030303030303,-17.30868002054443,0.0483964447484362,17.30868002054443,Llevant_Iberic,,2001-2010,0.22178528223299107
