ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
estacio_periode,wemo,vent_u10,120,0.7315403656748266,2.3395707238051154e-21,0.734640415418391,1.3049070348722333e-21,0.7315403656748266,0.734640415418391,,Winter,1991-2000,2.005346334690099e-19,1.3049070348722333e-19
subregio_estacio_periode,wemo,vent_u10,30,0.7308864859220915,4.5042878665622436e-06,0.7579532814238041,1.2284749348924834e-06,0.7308864859220915,0.7579532814238041,Catalunya_Balears,Spring,1981-1990,6.155635268600892e-05,1.976099090979866e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7300395249176403,4.679544287437745e-06,0.7431304974230225,2.552323737546317e-06,0.7300395249176403,0.7431304974230225,Llevant_Iberic,Autumn,2001-2010,6.352322562132686e-05,3.7260200548121416e-05
subregio_estacio_periode,nao,humitat_sol_capa1,30,-0.7297979374434729,4.730651288413419e-06,-0.689432703003337,2.5104237419100932e-05,0.7297979374434729,0.689432703003337,Catalunya_Balears,Winter,1991-2000,6.407202647963998e-05,0.00029361681191930914
estacio_periode,nao,pressio_nivell_mar,120,0.7294596978100748,3.446300767232056e-21,0.7285250138105795,4.0965133325480815e-21,0.7294596978100748,0.7285250138105795,,Autumn,1991-2000,2.9123668455482165e-19,3.7241030295891654e-19
estacio,wemo,vent_u10,480,0.7283673837797724,1.6426624667677584e-80,0.7207737260656498,4.2159796867301136e-78,0.7283673837797724,0.7207737260656498,,Winter,,2.4639937001516376e-77,6.32396953009517e-75
subregio_periode,wemo,vent_u10,120,0.7255196721918137,7.106706241668446e-21,0.7191414301326967,2.2341165980111796e-20,0.7255196721918137,0.7191414301326967,Golf_Lleo,,1991-2000,5.922255201390372e-19,1.7637762615877734e-18
subregio_estacio_periode,wemo,vent_u10,30,0.725280415916587,5.784038534409705e-06,0.6939592878629962,2.1098148326700823e-05,0.725280415916587,0.6939592878629962,Golf_Lleo,Winter,2001-2010,7.694951487019563e-05,0.0002516677732807255
estacio_periode,nao,pressio_nivell_mar,120,0.7249279591090846,7.914107780665829e-21,0.7960585056568432,1.68968109387134e-27,0.7249279591090846,0.7960585056568432,,Autumn,2011-2020,6.504746121095202e-19,2.8161351564522333e-25
subregio_estacio,wemo,vent_u10,120,0.7226188770661389,1.2012069834066812e-20,0.6865111888526886,4.942259554423055e-18,0.7226188770661389,0.6865111888526886,Golf_Lleo,Spring,,9.739516081675794e-19,3.294839702948703e-16
subregio_estacio_periode,wemo,vent_u10,30,0.7222267522028718,6.611468627304943e-06,0.695739241150237,1.968722286920031e-05,0.7222267522028718,0.695739241150237,Golf_Lleo,Spring,2011-2020,8.623654731267317e-05,0.00023577512418203965
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7215113701825256,6.8201268169751475e-06,0.6732673308988222,4.5587110574610356e-05,0.7215113701825256,0.6732673308988222,Llevant_Iberic,Autumn,1981-1990,8.857307554513179e-05,0.0004901839846732296
subregio_estacio_periode,wemo,vent_u10,30,0.7202586776454346,7.1998613248863405e-06,0.6746773642777566,4.3338369254882656e-05,0.7202586776454346,0.6746773642777566,Golf_Lleo,Spring,1991-2000,9.310165506318545e-05,0.0004685229108635963
