Data,Any,Mes,Estació,Subregió,Període,NAO,Fase NAO,Anomalia precipitació mensual (mm),Precipitació mensual (mm),Es hivern
2001-03,2001,3,Primavera,Golf del Lleó,2001-2010,-0.68,Negativa,59.4304183896631,128.4615774154663,False
2003-04,2003,4,Primavera,Golf del Lleó,2001-2010,-1.74,Negativa,-11.115768000483513,81.0686731338501,False
2004-05,2004,5,Primavera,Golf del Lleó,2001-2010,-0.67,Negativa,-29.845899520814413,58.82216119766235,False
2005-03,2005,3,Primavera,Golf del Lleó,2001-2010,-1.29,Negativa,-35.10681222118437,33.924346804618835,False
2006-03,2006,3,Primavera,Golf del Lleó,2001-2010,-1.12,Negativa,24.10765089355409,93.1388099193573,False
2008-04,2008,4,Primavera,Golf del Lleó,2001-2010,-2.02,Negativa,26.798229172825813,118.98267030715942,False
2008-05,2008,5,Primavera,Golf del Lleó,2001-2010,-3.26,Negativa,58.06807428747416,146.73613500595093,False
2010-03,2010,3,Primavera,Golf del Lleó,2001-2010,-0.8,Negativa,12.93374432884157,81.96490335464478,False
2010-04,2010,4,Primavera,Golf del Lleó,2001-2010,-1.03,Negativa,-43.37871913611889,48.80572199821472,False
2010-05,2010,5,Primavera,Golf del Lleó,2001-2010,-1.66,Negativa,24.902377904951575,113.57043862342834,False
2012-04,2012,4,Primavera,Golf del Lleó,2011-2020,-2.36,Negativa,43.17388768494129,135.3583288192749,False
2012-05,2012,5,Primavera,Golf del Lleó,2011-2020,-0.83,Negativa,20.35235268026591,109.02041339874268,False
2013-03,2013,3,Primavera,Golf del Lleó,2011-2020,-3.75,Negativa,82.4843062337488,151.515465259552,False
2016-04,2016,4,Primavera,Golf del Lleó,2011-2020,-2.06,Negativa,-17.90108446776867,74.28335666656494,False
2016-05,2016,5,Primavera,Golf del Lleó,2011-2020,-0.83,Negativa,21.640333713591104,110.30839443206789,False
2018-03,2018,3,Primavera,Golf del Lleó,2011-2020,-1.12,Negativa,86.86759843192995,155.89875745773315,False
2020-04,2020,4,Primavera,Golf del Lleó,2011-2020,-0.71,Negativa,-16.790278002619743,75.39416313171387,False
1981-04,1981,4,Primavera,Llevant Ibèric,1981-1990,-3.04,Negativa,58.48571699112654,98.83917331695557,False
1982-04,1982,4,Primavera,Llevant Ibèric,1981-1990,-0.99,Negativa,-0.5359526351094246,39.8175036907196,False
1983-04,1983,4,Primavera,Llevant Ibèric,1981-1990,-1.01,Negativa,-24.296683855354782,16.056772470474243,False
1983-05,1983,5,Primavera,Llevant Ibèric,1981-1990,-0.57,Negativa,-26.047376304864883,9.26892039179802,False
1984-03,1984,3,Primavera,Llevant Ibèric,1981-1990,-2.12,Negativa,1.4998333580791936,37.34444332122803,False
1984-05,1984,5,Primavera,Llevant Ibèric,1981-1990,-2.34,Negativa,57.04048883914948,92.35678553581238,False
1985-05,1985,5,Primavera,Llevant Ibèric,1981-1990,-2.13,Negativa,25.348833918571472,60.665130615234375,False
1986-04,1986,4,Primavera,Llevant Ibèric,1981-1990,-0.93,Negativa,-0.0335677340626716,40.31988859176636,False
1987-05,1987,5,Primavera,Llevant Ibèric,1981-1990,-0.81,Negativa,-12.98041445016861,22.335882246494293,False
1988-04,1988,4,Primavera,Llevant Ibèric,1981-1990,-2.39,Negativa,20.636707954108715,60.990164279937744,False
1988-05,1988,5,Primavera,Llevant Ibèric,1981-1990,-1.24,Negativa,19.693499326705933,55.00979602336884,False
1990-05,1990,5,Primavera,Llevant Ibèric,1981-1990,-1.19,Negativa,3.9041093587875366,39.22040605545044,False
1991-03,1991,3,Primavera,Llevant Ibèric,1991-2000,-1.37,Negativa,40.72759343460202,76.57220339775085,False
1993-05,1993,5,Primavera,Llevant Ibèric,1991-2000,-2.59,Negativa,0.573151707649231,35.889448404312134,False
1994-05,1994,5,Primavera,Llevant Ibèric,1991-2000,-1.43,Negativa,-23.038082242012024,12.27821445465088,False
1995-04,1995,4,Primavera,Llevant Ibèric,1991-2000,-1.81,Negativa,-25.545677728950977,14.807778596878052,False
1996-03,1996,3,Primavera,Llevant Ibèric,1991-2000,-2.57,Negativa,-4.220567690581085,31.62404227256775,False
1996-05,1996,5,Primavera,Llevant Ibèric,1991-2000,-1.5,Negativa,-4.338135182857513,30.97816151380539,False
1997-04,1997,4,Primavera,Llevant Ibèric,1991-2000,-0.97,Negativa,27.47113388031721,67.82459020614624,False
1997-05,1997,5,Primavera,Llevant Ibèric,1991-2000,-1.35,Negativa,-3.9208462238311768,31.39545047283173,False
1998-05,1998,5,Primavera,Llevant Ibèric,1991-2000,-1.26,Negativa,26.79675567150116,62.11305236816406,False
1999-03,1999,3,Primavera,Llevant Ibèric,1991-2000,-0.72,Negativa,6.658102644234894,42.50271260738373,False
2000-04,2000,4,Primavera,Llevant Ibèric,1991-2000,-3.34,Negativa,-9.663853235542774,30.68960309028625,False
2001-03,2001,3,Primavera,Llevant Ibèric,2001-2010,-0.68,Negativa,-22.13657702729106,13.708032935857773,False
2003-04,2003,4,Primavera,Llevant Ibèric,2001-2010,-1.74,Negativa,5.1852671429514885,45.53872346878052,False
2004-05,2004,5,Primavera,Llevant Ibèric,2001-2010,-0.67,Negativa,45.09072935581207,80.40702605247498,False
2005-03,2005,3,Primavera,Llevant Ibèric,2001-2010,-1.29,Negativa,-7.028150009363891,28.816459953784943,False
2006-03,2006,3,Primavera,Llevant Ibèric,2001-2010,-1.12,Negativa,-21.638376282900573,14.20623368024826,False
2008-04,2008,4,Primavera,Llevant Ibèric,2001-2010,-2.02,Negativa,-20.505896396934983,19.847559928894043,False
2008-05,2008,5,Primavera,Llevant Ibèric,2001-2010,-3.26,Negativa,47.57466638088226,82.89096307754517,False
2010-03,2010,3,Primavera,Llevant Ibèric,2001-2010,-0.8,Negativa,12.178485406190156,48.02309536933899,False
2010-04,2010,4,Primavera,Llevant Ibèric,2001-2010,-1.03,Negativa,-7.151081152260304,33.202375173568726,False
2010-05,2010,5,Primavera,Llevant Ibèric,2001-2010,-1.66,Negativa,-3.225174307823181,32.09112238883972,False
2012-04,2012,4,Primavera,Llevant Ibèric,2011-2020,-2.36,Negativa,-7.056213207542896,33.29724311828613,False
2012-05,2012,5,Primavera,Llevant Ibèric,2011-2020,-0.83,Negativa,-25.62669211626053,9.689604580402374,False
2013-03,2013,3,Primavera,Llevant Ibèric,2011-2020,-3.75,Negativa,19.63764311149716,55.482253074646,False
2016-04,2016,4,Primavera,Llevant Ibèric,2011-2020,-2.06,Negativa,-0.0836678221821785,40.26978850364685,False
2016-05,2016,5,Primavera,Llevant Ibèric,2011-2020,-0.83,Negativa,-5.722121298313141,29.59417539834976,False
